,Car Make,Car Model,Year,Engine Size (L),Horsepower,Torque (lb-ft),0-60 MPH Time (seconds),Price (in USD),Engine Type,Engine Size Numeric,Horsepower Numeric,Torque Numeric,0-60 MPH Time Numeric,Price Numeric
241,Ford,GT,2022,3.5,660,550,2.8,"500,000",Combustion,3.5,660.0,550.0,2.8,500000
242,Lexus,LC 500,2022,5,471,398,4.4,"92,950",Combustion,5.0,471.0,398.0,4.4,92950
243,Maserati,GranTurismo,2020,4.7,454,384,4.8,"150,400",Combustion,4.7,454.0,384.0,4.8,150400
244,Nissan,370Z Nismo,2021,3.7,350,276,4.6,"47,820",Combustion,3.7,350.0,276.0,4.6,47820
245,Rolls-Royce,Wraith,2022,6.8,624,605,4.4,"330,000",Combustion,6.8,624.0,605.0,4.4,330000
246,Subaru,WRX STI,2021,2.5,310,290,4.6,"38,170",Combustion,2.5,310.0,290.0,4.6,38170
247,Tesla,Model S Plaid,2022,,1020,1050,1.9,"131,190",Unknown,,1020.0,1050.0,1.9,131190
248,Porsche,Cayman GT4,2021,4,414,309,4.2,"102,000",Combustion,4.0,414.0,309.0,4.2,102000
249,Lamborghini,Aventador,2021,6.5,729,507,2.9,"393,695",Combustion,6.5,729.0,507.0,2.9,393695
250,Ferrari,Portofino,2022,3.9,591,413,3.3,"218,750",Combustion,3.9,591.0,413.0,3.3,218750
251,Audi,RS7,2021,4,591,590,3.5,"114,000",Combustion,4.0,591.0,590.0,3.5,114000
252,McLaren,600LT,2021,3.8,592,457,2.8,"256,500",Combustion,3.8,592.0,457.0,2.8,256500
253,BMW,M2,2022,3,405,406,4,"58,900",Combustion,3.0,405.0,406.0,4.0,58900
254,Mercedes-Benz,AMG GT,2021,4,523,494,3.8,"118,500",Combustion,4.0,523.0,494.0,3.8,118500
255,Chevrolet,Camaro SS,2021,6.2,455,455,4.1,"40,590",Combustion,6.2,455.0,455.0,4.1,40590
256,Ford,Mustang Mach 1,2021,5,480,420,4,"52,720",Combustion,5.0,480.0,420.0,4.0,52720
257,Nissan,370Z Nismo,2021,3.7,350,276,4.6,"45,000",Combustion,3.7,350.0,276.0,4.6,45000
258,Porsche,Panamera Turbo,2022,4,620,604,3.1,"174,300",Combustion,4.0,620.0,604.0,3.1,174300
259,Lamborghini,Urus,2021,4,641,627,3.2,"222,004",Combustion,4.0,641.0,627.0,3.2,222004
260,Ferrari,SF90 Stradale,2022,4,986,590,2.5,"625,000",Combustion,4.0,986.0,590.0,2.5,625000
261,Audi,TT RS,2022,2.5,394,354,3.4,"67,895",Combustion,2.5,394.0,354.0,3.4,67895
262,McLaren,GT,2021,4,612,465,3.1,"210,000",Combustion,4.0,612.0,465.0,3.1,210000
263,Dodge,Challenger SRT Hellcat,2021,6.2,717,656,3.5,"62,290",Combustion,6.2,717.0,656.0,3.5,62290
264,Aston Martin,DBS Superleggera,2021,5.2,715,663,3.2,"304,995",Combustion,5.2,715.0,663.0,3.2,304995
265,Jaguar,F-Type R,2021,5,575,516,3.5,"103,200",Combustion,5.0,575.0,516.0,3.5,103200
266,Lexus,LC 500,2022,5,471,398,4.4,"93,050",Combustion,5.0,471.0,398.0,4.4,93050
267,Porsche,Cayman GT4,2022,4,414,309,4.2,"101,200",Combustion,4.0,414.0,309.0,4.2,101200
268,BMW,M2 Competition,2022,3,405,406,4,"59,895",Combustion,3.0,405.0,406.0,4.0,59895
269,Audi,RS 5 Coupe,2021,2.9,444,443,3.7,"75,100",Combustion,2.9,444.0,443.0,3.7,75100
270,Chevrolet,Camaro ZL1,2021,6.2,650,650,3.5,"64,195",Combustion,6.2,650.0,650.0,3.5,64195
271,Lotus,Evora GT,2022,3.5,416,317,3.8,"105,000",Combustion,3.5,416.0,317.0,3.8,105000
272,McLaren,GT,2021,4,612,465,3.1,"211,000",Combustion,4.0,612.0,465.0,3.1,211000
273,Mercedes-Benz,SLS AMG Black Series,2014,6.2,622,468,3.5,"275,000",Combustion,6.2,622.0,468.0,3.5,275000
274,Bugatti,Chiron,2021,8,1500,1180,2.4,"2,998,000",Combustion,8.0,1500.0,1180.0,2.4,2998000
275,Koenigsegg,Jesko,2021,5,1280,1015,2.5,"3,000,000",Combustion,5.0,1280.0,1015.0,2.5,3000000
276,Ferrari,SF90 Stradale,2021,4,986,590,2.5,"625,000",Combustion,4.0,986.0,590.0,2.5,625000
277,Lamborghini,Aventador SVJ,2020,6.5,770,531,2.8,"573,966",Combustion,6.5,770.0,531.0,2.8,573966
278,Rimac,C_Two,2022,Electric,1914,1732,1.85,"2,400,000",Electric,,1914.0,1732.0,1.85,2400000
279,Pagani,Huayra Roadster BC,2021,6,791,774,2.5,"3,500,000",Combustion,6.0,791.0,774.0,2.5,3500000
280,Pininfarina,Battista,2022,Electric,1874,1696,1.9,"2,500,000",Electric,,1874.0,1696.0,1.9,2500000
281,Acura,NSX,2022,3.5,573,476,2.9,"157,500",Combustion,3.5,573.0,476.0,2.9,157500
282,Aston Martin,Vantage,2021,4,503,505,3.5,"146,000",Combustion,4.0,503.0,505.0,3.5,146000
283,Bentley,Continental GT,2022,4,542,568,3.9,"219,800",Combustion,4.0,542.0,568.0,3.9,219800
284,Dodge,Challenger SRT Hellcat,2022,6.2,717,656,3.5,"70,000",Combustion,6.2,717.0,656.0,3.5,70000
285,Jaguar,F-Type,2022,2,296,295,5.4,"61,600",Combustion,2.0,296.0,295.0,5.4,61600
286,Kia,Stinger,2022,3.3,368,376,4.7,"52,200",Combustion,3.3,368.0,376.0,4.7,52200
287,Lotus,Evora GT,2021,3.5,416,317,3.8,"100,450",Combustion,3.5,416.0,317.0,3.8,100450
288,Maserati,GranTurismo,2021,4.7,454,384,4.8,"134,300",Combustion,4.7,454.0,384.0,4.8,134300
289,Porsche,718 Cayman GT4,2022,4,414,309,4.2,"102,550",Combustion,4.0,414.0,309.0,4.2,102550
290,Alfa Romeo,Giulia Quadrifoglio,2021,2.9,505,443,3.8,"76,400",Combustion,2.9,505.0,443.0,3.8,76400
291,Audi,RS7,2021,4,591,590,3.5,"114,000",Combustion,4.0,591.0,590.0,3.5,114000
292,BMW,M5,2022,4.4,600,553,3.2,"103,500",Combustion,4.4,600.0,553.0,3.2,103500
293,Chevrolet,Camaro ZL1,2022,6.2,650,650,3.5,"69,000",Combustion,6.2,650.0,650.0,3.5,69000
294,Ford,GT,2022,3.5,660,550,3,"500,000",Combustion,3.5,660.0,550.0,3.0,500000
295,Lamborghini,Aventador,2021,6.5,770,531,2.8,"417,826",Combustion,6.5,770.0,531.0,2.8,417826
296,McLaren,Artura,2021,3,671,531,3,"225,000",Combustion,3.0,671.0,531.0,3.0,225000
297,Mercedes-Benz,SLS AMG,2021,4,577,516,3.6,"247,500",Combustion,4.0,577.0,516.0,3.6,247500
298,Nissan,370Z Nismo,2021,3.7,350,276,4.8,"45,790",Combustion,3.7,350.0,276.0,4.8,45790
299,Porsche,Taycan,2022,Electric,616,774,2.6,"79,900",Electric,,616.0,774.0,2.6,79900
300,Tesla,Model S,2022,Electric,1020,1050,1.98,"119,000",Electric,,1020.0,1050.0,1.98,119000
301,Aston Martin,DBS Superleggera,2022,5.2,715,664,3.2,"307,820",Combustion,5.2,715.0,664.0,3.2,307820
302,Bentley,Continental GT,2022,4,542,568,3.4,"207,825",Combustion,4.0,542.0,568.0,3.4,207825
303,Bugatti,Chiron,2021,8,1479,1180,2.3,"2,998,000",Combustion,8.0,1479.0,1180.0,2.3,2998000
304,McLaren,570S,2021,3.8,562,443,3.1,"202,500",Combustion,3.8,562.0,443.0,3.1,202500
305,Porsche,Taycan Turbo S,2021,Electric,750,774,2.6,"185,000",Electric,,750.0,774.0,2.6,185000
306,Lamborghini,Aventador S,2021,6.5,730,509,2.9,"417,826",Combustion,6.5,730.0,509.0,2.9,417826
307,Ferrari,F8 Tributo,2022,3.9,710,568,2.8,"276,550",Combustion,3.9,710.0,568.0,2.8,276550
308,Audi,RS 7,2022,4,591,590,3.5,"114,000",Combustion,4.0,591.0,590.0,3.5,114000
309,BMW,M2 CS,2022,3,444,406,4,"84,595",Combustion,3.0,444.0,406.0,4.0,84595
310,Mercedes-Benz,SLS AMG,2021,6.2,622,468,3.2,"275,000",Combustion,6.2,622.0,468.0,3.2,275000
311,Chevrolet,Camaro ZL1,2021,6.2,650,650,3.5,"63,000",Combustion,6.2,650.0,650.0,3.5,63000
312,Ford,GT,2022,3.5,660,550,3,"500,000",Combustion,3.5,660.0,550.0,3.0,500000
313,Jaguar,F-Type,2021,5,575,516,3.5,"103,200",Combustion,5.0,575.0,516.0,3.5,103200
314,Lotus,Evora GT,2021,3.5,416,317,3.8,"96,950",Combustion,3.5,416.0,317.0,3.8,96950
315,Maserati,GranTurismo,2022,4.7,454,384,4.8,"134,300",Combustion,4.7,454.0,384.0,4.8,134300
316,McLaren,765LT,2021,4,755,590,2.8,"358,000",Combustion,4.0,755.0,590.0,2.8,358000
317,Nissan,370Z,2021,3.7,332,270,5,"30,000",Combustion,3.7,332.0,270.0,5.0,30000
318,Pagani,Huayra,2021,6,730,738,3,"2,600,000",Combustion,6.0,730.0,738.0,3.0,2600000
319,Porsche,Panamera Turbo S,2021,4,620,604,2.9,"180,000",Combustion,4.0,620.0,604.0,2.9,180000
320,Tesla,Model S Plaid,2021,Electric,1020,1050,1.9,"131,100",Electric,,1020.0,1050.0,1.9,131100
321,Aston Martin,DB11,2021,4,503,513,4,"201,495",Combustion,4.0,503.0,513.0,4.0,201495
322,Dodge,Challenger Hellcat Redeye,2022,6.2,797,707,3.4,"82,190",Combustion,6.2,797.0,707.0,3.4,82190
323,Lotus,Evora,2021,3.5,416,317,3.8,"96,950",Combustion,3.5,416.0,317.0,3.8,96950
324,Acura,NSX,2021,3.5,573,476,2.7,"159,495",Combustion,3.5,573.0,476.0,2.7,159495
325,Alfa Romeo,Giulia Quadrifoglio,2021,2.9,505,443,3.8,"76,950",Combustion,2.9,505.0,443.0,3.8,76950
326,Bentley,Continental GT,2021,6,626,664,3.3,"202,500",Combustion,6.0,626.0,664.0,3.3,202500
327,Jaguar,F-Type,2022,3,380,339,4.9,"70,100",Combustion,3.0,380.0,339.0,4.9,70100
328,Koenigsegg,Jesko,2022,5,1280,1015,2.5,"3,000,000",Combustion,5.0,1280.0,1015.0,2.5,3000000
329,Lexus,LC 500,2021,5,471,398,4.4,"92,950",Combustion,5.0,471.0,398.0,4.4,92950
330,Maserati,GranTurismo,2022,4.7,454,384,4.8,"132,795",Combustion,4.7,454.0,384.0,4.8,132795
331,McLaren,GT,2022,4,612,465,3.1,"215,500",Combustion,4.0,612.0,465.0,3.1,215500
332,Mercedes-AMG,C 63 S Coupe,2022,4,503,516,3.7,"80,900",Combustion,4.0,503.0,516.0,3.7,80900
333,Porsche,718 Cayman,2021,2,300,280,4.9,"59,900",Combustion,2.0,300.0,280.0,4.9,59900
334,Rolls-Royce,Wraith,2021,6.8,624,605,4.3,"330,000",Combustion,6.8,624.0,605.0,4.3,330000
335,Tesla,Roadster,2022,-,1000+,-,1.9,"200,000",Electric,,1000.0,,1.9,200000
336,Chevrolet,Camaro SS,2021,6.2,455,455,4,"40,000",Combustion,6.2,455.0,455.0,4.0,40000
337,Ford,GT,2022,3.5,660,550,3,"500,000",Combustion,3.5,660.0,550.0,3.0,500000
338,Acura,NSX,2022,3.5,573,476,2.7,"157,500",Combustion,3.5,573.0,476.0,2.7,157500
339,Aston Martin,DB11,2021,5.2,630,516,3.7,"209,000",Combustion,5.2,630.0,516.0,3.7,209000
340,Bentley,Continental GT,2022,4,542,568,3.9,"202,500",Combustion,4.0,542.0,568.0,3.9,202500
341,Bugatti,Chiron,2021,8,1500,1180,2.4,"3,000,000",Combustion,8.0,1500.0,1180.0,2.4,3000000
342,Dodge,Challenger Hellcat,2022,6.2,717,656,3.5,"67,500",Combustion,6.2,717.0,656.0,3.5,67500
343,Jaguar,F-Type,2021,5,575,516,3.5,"103,200",Combustion,5.0,575.0,516.0,3.5,103200
344,Koenigsegg,Jesko,2022,5,1280,1106,2.5,"2,800,000",Combustion,5.0,1280.0,1106.0,2.5,2800000
345,Lexus,LC,2021,5,471,398,4.4,"92,950",Combustion,5.0,471.0,398.0,4.4,92950
346,Lotus,Evora GT,2021,3.5,416,317,3.8,"104,200",Combustion,3.5,416.0,317.0,3.8,104200
347,Maserati,GranTurismo,2021,4.7,454,384,4.7,"133,050",Combustion,4.7,454.0,384.0,4.7,133050
348,McLaren,570S,2021,3.8,562,443,3.1,"196,350",Combustion,3.8,562.0,443.0,3.1,196350
349,Mercedes-Benz,AMG C63,2022,4,503,516,3.8,"69,900",Combustion,4.0,503.0,516.0,3.8,69900
350,Pagani,Huayra BC,2021,6,791,774,2.7,"2,600,000",Combustion,6.0,791.0,774.0,2.7,2600000
351,Porsche,Cayman GT4,2022,4,414,309,4.2,"102,900",Combustion,4.0,414.0,309.0,4.2,102900
352,Rimac,Nevera,2022,Electric,1914,1696,1.85,"2,400,000",Electric,,1914.0,1696.0,1.85,2400000
353,Rolls-Royce,Wraith,2021,6.7,624,605,4.4,"338,000",Combustion,6.7,624.0,605.0,4.4,338000
354,Tesla,Roadster,2022,Electric,1000+,"10,000+",1.9,"200,000",Electric,,1000.0,,1.9,200000
355,Acura,NSX,2022,3.5,573,476,2.7,"157,500",Combustion,3.5,573.0,476.0,2.7,157500
356,Aston Martin,Vantage,2021,4,503,505,3.5,"150,000",Combustion,4.0,503.0,505.0,3.5,150000
357,Bentley,Continental GT,2021,6,626,664,3.6,"218,400",Combustion,6.0,626.0,664.0,3.6,218400
358,Dodge,Challenger SRT Hellcat Redeye,2021,6.2,797,707,3.5,"73,000",Combustion,6.2,797.0,707.0,3.5,73000
359,Jaguar,F-Type R,2022,5,575,516,3.5,"103,200",Combustion,5.0,575.0,516.0,3.5,103200
360,Lexus,LC 500,2021,5,471,398,4.4,"92,950",Combustion,5.0,471.0,398.0,4.4,92950
361,Lotus,Evora GT,2021,3.5,416,317,3.8,"104,970",Combustion,3.5,416.0,317.0,3.8,104970
362,Maserati,GranTurismo,2021,4.7,454,384,4.8,"132,400",Combustion,4.7,454.0,384.0,4.8,132400
363,Porsche,Cayman GT4,2021,4,414,309,4.2,"101,200",Combustion,4.0,414.0,309.0,4.2,101200
364,Tesla,Roadster,2023,Electric,"1,000+",737,< 1.9,"200,000",Electric,,1000.0,737.0,1.9,200000
365,Alpine,A110,2021,1.8,288,236,4.4,"71,500",Combustion,1.8,288.0,236.0,4.4,71500
366,Audi,RS7,2021,4,591,590,3.5,"114,000",Combustion,4.0,591.0,590.0,3.5,114000
367,BMW,M4,2021,3,473,406,4.1,"71,800",Combustion,3.0,473.0,406.0,4.1,71800
368,Chevrolet,Camaro ZL1,2021,6.2,650,650,3.5,"64,195",Combustion,6.2,650.0,650.0,3.5,64195
369,Dodge,Viper,2017,8.4,645,600,3.3,"118,795",Combustion,8.4,645.0,600.0,3.3,118795
370,Ferrari,Portofino,2021,3.9,591,560,3.5,"218,750",Combustion,3.9,591.0,560.0,3.5,218750
371,Jaguar,F-Type,2022,3,296,295,5.4,"61,600",Combustion,3.0,296.0,295.0,5.4,61600
372,Lamborghini,Aventador SVJ,2021,6.5,770,531,2.8,"517,700",Combustion,6.5,770.0,531.0,2.8,517700
373,McLaren,600LT,2021,3.8,592,457,2.8,"240,000",Combustion,3.8,592.0,457.0,2.8,240000
374,Aston Martin,DB11,2021,5.2,630,516,3.5,"221,400",Combustion,5.2,630.0,516.0,3.5,221400
375,Bentley,Continental GT,2021,6,626,664,3.6,"202,500",Combustion,6.0,626.0,664.0,3.6,202500
376,Bugatti,Chiron,2022,8,1500,1180,2.4,"3,000,000",Combustion,8.0,1500.0,1180.0,2.4,3000000
377,Dodge,Challenger SRT Hellcat,2021,6.2,717,656,3.5,"64,100",Combustion,6.2,717.0,656.0,3.5,64100
378,Jaguar,F-Type R,2022,5,575,516,3.5,"103,200",Combustion,5.0,575.0,516.0,3.5,103200
379,Koenigsegg,Jesko,2022,5,1280,1015,2.5,"2,800,000",Combustion,5.0,1280.0,1015.0,2.5,2800000
380,Lexus,LC 500,2021,5,471,398,4.4,"92,950",Combustion,5.0,471.0,398.0,4.4,92950
381,Lotus,Evora GT,2021,3.5,416,317,3.8,"100,450",Combustion,3.5,416.0,317.0,3.8,100450
382,Maserati,GranTurismo,2021,4.7,454,384,4.8,"150,980",Combustion,4.7,454.0,384.0,4.8,150980
383,McLaren,Artura,2022,3,671,531,3,"225,000",Combustion,3.0,671.0,531.0,3.0,225000
384,Mercedes-AMG,C 63 S,2022,4,503,516,3.7,"81,550",Combustion,4.0,503.0,516.0,3.7,81550
385,Pagani,Huayra,2021,6,764,738,2.8,"3,500,000",Combustion,6.0,764.0,738.0,2.8,3500000
386,Porsche,Cayman GT4,2021,4,414,309,4.2,"102,550",Combustion,4.0,414.0,309.0,4.2,102550
387,Rimac,C_Two,2022,,1888,1696,1.8,"2,400,000",Unknown,,1888.0,1696.0,1.8,2400000
388,Rolls-Royce,Wraith,2021,6.6,624,642,4.4,"330,000",Combustion,6.6,624.0,642.0,4.4,330000
389,Tesla,Roadster,2022,,10000+,0,1.9,"200,000",Unknown,,,0.0,1.9,200000
390,Toyota,Supra,2022,3,382,368,3.9,"43,090",Combustion,3.0,382.0,368.0,3.9,43090
391,Acura,NSX,2021,3.5,573,476,2.7,"157,500",Combustion,3.5,573.0,476.0,2.7,157500
392,Aston Martin,Vantage,2021,4,503,505,3.5,"146,000",Combustion,4.0,503.0,505.0,3.5,146000
393,Bentley,Continental GT,2022,4,542,568,3.9,"207,825",Combustion,4.0,542.0,568.0,3.9,207825
394,Dodge,Challenger SRT Hellcat,2021,6.2,717,656,3.5,"64,195",Combustion,6.2,717.0,656.0,3.5,64195
395,Jaguar,F-Type,2022,3,380,339,4.8,"62,250",Combustion,3.0,380.0,339.0,4.8,62250
396,Lexus,LC 500,2022,5,471,398,4.4,"92,000",Combustion,5.0,471.0,398.0,4.4,92000
397,Lotus,Evora GT,2021,3.5,416,317,3.8,"105,000",Combustion,3.5,416.0,317.0,3.8,105000
398,Maserati,GranTurismo,2022,4.7,454,384,4.7,"134,300",Combustion,4.7,454.0,384.0,4.7,134300
399,McLaren,570S,2022,3.8,562,443,2.9,"204,550",Combustion,3.8,562.0,443.0,2.9,204550
400,Porsche,Cayman GT4,2021,4,414,309,4.2,"102,000",Combustion,4.0,414.0,309.0,4.2,102000
401,Tesla,Model S Plaid,2021,Electric (tri-motor),1020,1050,1.9,"141,190",Electric,,1020.0,1050.0,1.9,141190
402,Audi,RS 5,2021,2.9,444,443,3.5,"75,100",Combustion,2.9,444.0,443.0,3.5,75100
403,BMW,M2 Competition,2022,3,405,406,4,"59,895",Combustion,3.0,405.0,406.0,4.0,59895
404,Chevrolet,Camaro ZL1,2021,6.2,650,650,3.5,"64,995",Combustion,6.2,650.0,650.0,3.5,64995
405,Dodge,Viper ACR,2017,8.4,645,600,3.3,"126,190",Combustion,8.4,645.0,600.0,3.3,126190
406,Ford,GT,2021,3.5,660,550,2.9,"500,000",Combustion,3.5,660.0,550.0,2.9,500000
407,Porsche,Taycan 4S,2022,2.5,482,472,3.8,"102,900",Combustion,2.5,482.0,472.0,3.8,102900
408,Lamborghini,Aventador S,2021,6.5,730,509,2.9,"417,650",Combustion,6.5,730.0,509.0,2.9,417650
409,Aston Martin,DB11,2021,5.2,630,516,3.5,"205,000",Combustion,5.2,630.0,516.0,3.5,205000
410,Alfa Romeo,Giulia Quadrifoglio,2022,2.9,505,443,3.8,"81,250",Combustion,2.9,505.0,443.0,3.8,81250
411,Audi,RS7 Sportback,2022,4,591,590,3.5,"115,045",Combustion,4.0,591.0,590.0,3.5,115045
412,BMW,M4 Competition,2021,3,503,479,3.9,"75,695",Combustion,3.0,503.0,479.0,3.9,75695
413,Chevrolet,Camaro SS,2022,6.2,455,455,4.1,"42,000",Combustion,6.2,455.0,455.0,4.1,42000
414,Dodge,Charger Hellcat,2021,6.2,717,650,3.6,"71,490",Combustion,6.2,717.0,650.0,3.6,71490
415,Ferrari,F8 Tributo,2021,3.9,710,568,2.9,"274,280",Combustion,3.9,710.0,568.0,2.9,274280
416,Ford,GT,2021,3.5,660,550,2.8,"500,000",Combustion,3.5,660.0,550.0,2.8,500000
417,Jaguar,F-Type R,2021,5,575,516,3.5,"103,200",Combustion,5.0,575.0,516.0,3.5,103200
418,Koenigsegg,Jesko Absolut,2022,5,1600,1106,2.1,"2,800,000",Combustion,5.0,1600.0,1106.0,2.1,2800000
419,Lexus,LC 500,2021,5,471,398,4.4,"93,050",Combustion,5.0,471.0,398.0,4.4,93050
420,Lotus,Evija,2022,Electric,1973,1254,2.5,"2,750,000",Electric,,1973.0,1254.0,2.5,2750000
421,McLaren,GT,2022,4,612,465,3.2,"210,000",Combustion,4.0,612.0,465.0,3.2,210000
422,Mercedes-Benz,AMG GT Black Series,2021,4,720,590,3.2,"326,050",Combustion,4.0,720.0,590.0,3.2,326050
423,Porsche,Cayman GT4,2021,4,414,309,4.2,"102,500",Combustion,4.0,414.0,309.0,4.2,102500
424,Lamborghini,Aventador,2021,6.5,770,531,2.8,"417,650",Combustion,6.5,770.0,531.0,2.8,417650
425,Ferrari,Portofino,2021,3.9,591,560,3.3,"218,750",Combustion,3.9,591.0,560.0,3.3,218750
426,Audi,TT RS,2022,2.5,394,354,3.6,"69,000",Combustion,2.5,394.0,354.0,3.6,69000
427,McLaren,600LT Spider,2021,3.8,592,457,2.8,"256,500",Combustion,3.8,592.0,457.0,2.8,256500
428,BMW,M4,2022,3,473,406,4.1,"72,800",Combustion,3.0,473.0,406.0,4.1,72800
429,Mercedes-Benz,AMG C 63,2022,4,503,516,3.8,"70,000",Combustion,4.0,503.0,516.0,3.8,70000
430,Chevrolet,Camaro SS 1LE,2021,6.2,455,455,4,"44,500",Combustion,6.2,455.0,455.0,4.0,44500
431,Ford,Mustang Mach 1,2021,5,480,420,4,"51,000",Combustion,5.0,480.0,420.0,4.0,51000
432,Nissan,370Z Nismo,2021,3.7,350,276,5.2,"45,000",Combustion,3.7,350.0,276.0,5.2,45000
433,Aston Martin,Vantage,2021,4,503,505,3.5,"146,000",Combustion,4.0,503.0,505.0,3.5,146000
434,Bugatti,Chiron,2022,8,1500,1180,2.4,"3,000,000",Combustion,8.0,1500.0,1180.0,2.4,3000000
435,Koenigsegg,Jesko,2021,5,1262,1106,2.5,"3,000,000",Combustion,5.0,1262.0,1106.0,2.5,3000000
436,Pagani,Huayra,2021,6,764,738,2.6,"2,600,000",Combustion,6.0,764.0,738.0,2.6,2600000
437,McLaren,Speedtail,2021,4,1035,848,2.5,"2,300,000",Combustion,4.0,1035.0,848.0,2.5,2300000
438,Lamborghini,Sián,2021,6.5,819,531,2.8,"3,600,000",Combustion,6.5,819.0,531.0,2.8,3600000
439,Rimac,C_Two,2021,Electric,1914,1732,1.8,"2,400,000",Electric,,1914.0,1732.0,1.8,2400000
440,Porsche,Cayman,2022,2,300,280,4.9,"59,900",Combustion,2.0,300.0,280.0,4.9,59900
441,Lamborghini,Aventador,2021,6.5,770,531,2.8,"393,695",Combustion,6.5,770.0,531.0,2.8,393695
442,Ferrari,Portofino,2021,3.9,591,413,3.5,"215,000",Combustion,3.9,591.0,413.0,3.5,215000
443,Audi,RS 5,2022,2.9,444,443,3.7,"75,100",Combustion,2.9,444.0,443.0,3.7,75100
444,McLaren,GT,2021,4,620,465,3.1,"210,000",Combustion,4.0,620.0,465.0,3.1,210000
445,BMW,Z4 M40i,2022,3,382,369,4.3,"63,700",Combustion,3.0,382.0,369.0,4.3,63700
446,Mercedes-Benz,SLC 43,2020,3,385,384,4.6,"62,000",Combustion,3.0,385.0,384.0,4.6,62000
447,Chevrolet,Camaro SS,2022,6.2,455,455,4.3,"42,500",Combustion,6.2,455.0,455.0,4.3,42500
448,Ford,Mustang GT,2022,5,460,420,4.3,"36,120",Combustion,5.0,460.0,420.0,4.3,36120
449,Nissan,370Z Nismo,2020,3.7,350,276,4.6,"45,790",Combustion,3.7,350.0,276.0,4.6,45790
450,Aston Martin,Vantage,2022,4,503,505,3.6,"146,000",Combustion,4.0,503.0,505.0,3.6,146000
451,Bentley,Continental GT,2021,4,626,664,3.3,"220,000",Combustion,4.0,626.0,664.0,3.3,220000
452,Porsche,718 Boxster,2022,2,300,280,4.9,"62,000",Combustion,2.0,300.0,280.0,4.9,62000
453,Lamborghini,Urus,2021,4,641,627,3.6,"222,004",Combustion,4.0,641.0,627.0,3.6,222004
454,Ferrari,F8 Spider,2021,3.9,710,568,2.9,"280,000",Combustion,3.9,710.0,568.0,2.9,280000
455,Audi,TT RS,2022,2.5,394,354,3.6,"69,900",Combustion,2.5,394.0,354.0,3.6,69900
456,McLaren,570S,2021,3.8,562,443,2.9,"208,800",Combustion,3.8,562.0,443.0,2.9,208800
457,BMW,M4,2022,3,473,406,4,"72,800",Combustion,3.0,473.0,406.0,4.0,72800
458,Porsche,718 Cayman,2022,2,300,280,4.9,"60,500",Combustion,2.0,300.0,280.0,4.9,60500
459,Lamborghini,Aventador,2021,6.5,730,509,2.9,"393,695",Combustion,6.5,730.0,509.0,2.9,393695
460,Ferrari,SF90 Stradale,2022,4,986,590,2.5,"625,000",Combustion,4.0,986.0,590.0,2.5,625000
461,Audi,RS5,2022,2.9,444,443,3.7,"75,100",Combustion,2.9,444.0,443.0,3.7,75100
462,McLaren,GT,2021,4,612,465,3.2,"208,800",Combustion,4.0,612.0,465.0,3.2,208800
463,BMW,M2,2022,3,405,406,4,"58,900",Combustion,3.0,405.0,406.0,4.0,58900
464,Mercedes-Benz,SLS AMG,2015,6.2,622,468,3.6,"229,000",Combustion,6.2,622.0,468.0,3.6,229000
465,Chevrolet,Camaro ZL1,2021,6.2,650,650,3.5,"62,000",Combustion,6.2,650.0,650.0,3.5,62000
466,Ford,GT,2022,3.5,660,550,3,"500,000",Combustion,3.5,660.0,550.0,3.0,500000
467,Nissan,370Z Nismo,2020,3.7,350,276,5.2,"46,200",Combustion,3.7,350.0,276.0,5.2,46200
468,Dodge,Challenger SRT Hellcat,2021,6.2,717,656,3.6,"71,000",Combustion,6.2,717.0,656.0,3.6,71000
469,Aston Martin,DBS Superleggera,2021,5.2,715,663,3.2,"308,000",Combustion,5.2,715.0,663.0,3.2,308000
470,Alfa Romeo,Giulia Quadrifoglio,2022,2.9,505,443,3.8,"80,500",Combustion,2.9,505.0,443.0,3.8,80500
471,Jaguar,F-Type R,2021,5,575,516,3.5,"105,900",Combustion,5.0,575.0,516.0,3.5,105900
472,Lotus,Evora GT,2020,3.5,416,317,3.8,"96,950",Combustion,3.5,416.0,317.0,3.8,96950
473,Maserati,GranTurismo,2019,4.7,454,384,4.7,"150,980",Combustion,4.7,454.0,384.0,4.7,150980
474,Porsche,Panamera Turbo S,2022,4,630,604,2.9,"180,800",Combustion,4.0,630.0,604.0,2.9,180800
475,Lamborghini,Urus,2021,4,641,627,3.2,"218,000",Combustion,4.0,641.0,627.0,3.2,218000
476,Aston Martin,Vantage,2021,4,503,505,3.5,"146,000",Combustion,4.0,503.0,505.0,3.5,146000
477,Lotus,Evora,2021,3.5,416,317,3.8,"94,000",Combustion,3.5,416.0,317.0,3.8,94000
478,Alfa Romeo,4C Spider,2020,1.7,237,258,4.1,"67,150",Combustion,1.7,237.0,258.0,4.1,67150
479,Jaguar,F-Type,2022,3,380,339,4.9,"70,900",Combustion,3.0,380.0,339.0,4.9,70900
480,Maserati,GranTurismo,2021,4.7,454,384,4.7,"134,300",Combustion,4.7,454.0,384.0,4.7,134300
481,Porsche,Cayman GT4,2021,4,414,309,4.2,"100,200",Combustion,4.0,414.0,309.0,4.2,100200
482,Audi,RS5 Coupe,2022,2.9,444,443,3.7,"76,450",Combustion,2.9,444.0,443.0,3.7,76450
